date,tank,day_night,timepoint,treatment,Run,Date,SampleNumber,UniqueID,Notes
,,,,,1,4/7/2026,1,BLANK1,
4/6/2026,1,day,4/6/2026 12:00,MONOA,1,4/7/2026,2,BIOFAC_1,
4/6/2026,2,day,4/6/2026 12:00,6SP,1,4/7/2026,3,BIOFAC_2,
4/6/2026,3,day,4/6/2026 12:00,MONOB,1,4/7/2026,4,BIOFAC_3,
4/6/2026,4,day,4/6/2026 12:00,FAKEA,1,4/7/2026,5,BIOFAC_4,
4/6/2026,5,day,4/6/2026 12:00,3SP,1,4/7/2026,6,BIOFAC_5,
4/6/2026,6,day,4/6/2026 12:00,MONOA,1,4/7/2026,7,BIOFAC_6,
4/6/2026,7,day,4/6/2026 12:00,FAKEA,1,4/7/2026,8,BIOFAC_7,
4/6/2026,8,day,4/6/2026 12:00,FAKEB,1,4/7/2026,9,BIOFAC_8,
4/6/2026,9,day,4/6/2026 12:00,3SP,1,4/7/2026,10,BIOFAC_9,
4/6/2026,10,day,4/6/2026 12:00,MONOB,1,4/7/2026,11,BIOFAC_10,
,,,,,1,4/7/2026,12,BLANK2,
4/6/2026,11,day,4/6/2026 12:00,FAKEB,1,4/7/2026,13,BIOFAC_11,
4/6/2026,12,day,4/6/2026 12:00,FAKEA,1,4/7/2026,14,BIOFAC_12,
4/6/2026,13,day,4/6/2026 12:00,6SP,1,4/7/2026,15,BIOFAC_13,
4/6/2026,14,day,4/6/2026 12:00,MONOB,1,4/7/2026,16,BIOFAC_14,
4/6/2026,15,day,4/6/2026 12:00,FAKEB,1,4/7/2026,17,BIOFAC_15,
4/6/2026,16,day,4/6/2026 12:00,6SP,1,4/7/2026,18,BIOFAC_16,
4/6/2026,17,day,4/6/2026 12:00,FAKEB,1,4/7/2026,19,BIOFAC_17,
4/6/2026,18,day,4/6/2026 12:00,MONOA,1,4/7/2026,20,BIOFAC_18,
4/6/2026,19,day,4/6/2026 12:00,3SP,1,4/7/2026,21,BIOFAC_19,
4/6/2026,20,day,4/6/2026 12:00,MONOA,1,4/7/2026,22,BIOFAC_20,
,,,,,1,4/7/2026,23,BLANK3,
4/6/2026,21,day,4/6/2026 12:00,MONOB,1,4/7/2026,24,BIOFAC_21,
4/6/2026,22,day,4/6/2026 12:00,FAKEA,1,4/7/2026,25,BIOFAC_22,
4/6/2026,23,day,4/6/2026 12:00,3SP,1,4/7/2026,26,BIOFAC_23,
4/6/2026,24,day,4/6/2026 12:00,6SP,1,4/7/2026,27,BIOFAC_24,
4/6/2026,S1,day,4/6/2026 12:00,sump,1,4/7/2026,28,BIOFAC_25,
4/6/2026,S2,day,4/6/2026 12:00,sump,1,4/7/2026,29,BIOFAC_26,
4/6/2026,S3,day,4/6/2026 12:00,sump,1,4/7/2026,30,BIOFAC_27,
4/6/2026,S4,day,4/6/2026 12:00,sump,1,4/7/2026,31,BIOFAC_28,
4/6/2026,S5,day,4/6/2026 12:00,sump,1,4/7/2026,32,BIOFAC_29,
4/6/2026,S6,day,4/6/2026 12:00,sump,1,4/7/2026,33,BIOFAC_30,
,,,,,2,4/7/2026,1,BLANK1,
4/6/2026,1,day,4/6/2026 6:00,MONOA,2,4/7/2026,2,BIOFAC_31,
4/6/2026,2,day,4/6/2026 6:00,6SP,2,4/7/2026,3,BIOFAC_32,
4/6/2026,3,day,4/6/2026 6:00,MONOB,2,4/7/2026,4,BIOFAC_33,
4/6/2026,4,day,4/6/2026 6:00,FAKEA,2,4/7/2026,5,BIOFAC_34,
4/6/2026,5,day,4/6/2026 6:00,3SP,2,4/7/2026,6,BIOFAC_35,
4/6/2026,6,day,4/6/2026 6:00,MONOA,2,4/7/2026,7,BIOFAC_36,
4/6/2026,7,day,4/6/2026 6:00,FAKEA,2,4/7/2026,8,BIOFAC_37,
4/6/2026,8,day,4/6/2026 6:00,FAKEB,2,4/7/2026,9,BIOFAC_38,
4/6/2026,9,day,4/6/2026 6:00,3SP,2,4/7/2026,10,BIOFAC_39,
4/6/2026,10,day,4/6/2026 6:00,MONOB,2,4/7/2026,11,BIOFAC_40,
,,,,,2,4/7/2026,12,BLANK2,"accidently ran a sample here, replace blank with blank1 or blank3"
4/6/2026,11,day,4/6/2026 6:00,FAKEB,2,4/7/2026,13,BIOFAC_41,
4/6/2026,12,day,4/6/2026 6:00,FAKEA,2,4/7/2026,14,BIOFAC_42,
4/6/2026,13,day,4/6/2026 6:00,6SP,2,4/7/2026,15,BIOFAC_43,
4/6/2026,14,day,4/6/2026 6:00,MONOB,2,4/7/2026,16,BIOFAC_44,
4/6/2026,15,day,4/6/2026 6:00,FAKEB,2,4/7/2026,17,BIOFAC_45,
4/6/2026,16,day,4/6/2026 6:00,6SP,2,4/7/2026,18,BIOFAC_46,
4/6/2026,17,day,4/6/2026 6:00,FAKEB,2,4/7/2026,19,BIOFAC_47,
4/6/2026,18,day,4/6/2026 6:00,MONOA,2,4/7/2026,20,BIOFAC_48,
4/6/2026,19,day,4/6/2026 6:00,3SP,2,4/7/2026,21,BIOFAC_49,
4/6/2026,20,day,4/6/2026 6:00,MONOA,2,4/7/2026,22,BIOFAC_50,
,,,,,2,4/7/2026,23,BLANK3,
4/6/2026,21,day,4/6/2026 6:00,MONOB,2,4/7/2026,24,BIOFAC_51,
4/6/2026,22,day,4/6/2026 6:00,FAKEA,2,4/7/2026,25,BIOFAC_52,
4/6/2026,23,day,4/6/2026 6:00,3SP,2,4/7/2026,26,BIOFAC_53,
,,,,,3,4/8/2026,1,BLANK1,
4/6/2026,24,day,4/6/2026 6:00,6SP,3,4/8/2026,2,BIOFAC_54,
4/6/2026,S1,day,4/6/2026 6:00,sump,3,4/8/2026,3,BIOFAC_55,
4/6/2026,S2,day,4/6/2026 6:00,sump,3,4/8/2026,4,BIOFAC_56,
4/6/2026,S3,day,4/6/2026 6:00,sump,3,4/8/2026,5,BIOFAC_57,
4/6/2026,S4,day,4/6/2026 6:00,sump,3,4/8/2026,6,BIOFAC_58,
4/6/2026,S5,day,4/6/2026 6:00,sump,3,4/8/2026,7,BIOFAC_59,
4/6/2026,S6,day,4/6/2026 6:00,sump,3,4/8/2026,8,BIOFAC_60,
4/1/2026,1,night,4/1/2026 21:00,MONOA,3,4/8/2026,9,BIOFAC_61,
